year,month,crime_month,major_category,total_crimes
2016,7,01/07/2016,Drugs,3372
2016,7,01/07/2016,Robbery,1960
2016,7,01/07/2016,Violence Against the Person,21733
2016,7,01/07/2016,Other Notifiable Offences,1457
2016,7,01/07/2016,Criminal Damage,5773
2016,7,01/07/2016,Theft and Handling,25837
2016,8,01/08/2016,Violence Against the Person,19762
2016,8,01/08/2016,Burglary,5406
2016,8,01/08/2016,Other Notifiable Offences,1386
2016,8,01/08/2016,Theft and Handling,25176
2016,8,01/08/2016,Criminal Damage,5584
2016,8,01/08/2016,Drugs,3442
2016,8,01/08/2016,Robbery,1910
2016,9,01/09/2016,Burglary,5280
2016,9,01/09/2016,Theft and Handling,24999
2016,9,01/09/2016,Criminal Damage,5210
2016,9,01/09/2016,Robbery,1980
2016,9,01/09/2016,Drugs,3091
2016,9,01/09/2016,Other Notifiable Offences,1318
2016,9,01/09/2016,Violence Against the Person,19534
2016,10,01/10/2016,Other Notifiable Offences,1331
2016,10,01/10/2016,Burglary,5475
2016,10,01/10/2016,Drugs,3204
2016,10,01/10/2016,Violence Against the Person,19588
2016,10,01/10/2016,Theft and Handling,26303
2016,10,01/10/2016,Robbery,2048
2016,10,01/10/2016,Criminal Damage,5456
2016,11,01/11/2016,Robbery,1983
2016,11,01/11/2016,Burglary,6066
2016,11,01/11/2016,Other Notifiable Offences,1204
2016,11,01/11/2016,Theft and Handling,25384
2016,11,01/11/2016,Violence Against the Person,18441
2016,11,01/11/2016,Criminal Damage,5092
2016,11,01/11/2016,Drugs,2894
2016,12,01/12/2016,Violence Against the Person,18782
2016,12,01/12/2016,Robbery,2238
2016,12,01/12/2016,Drugs,2656
2016,12,01/12/2016,Burglary,6604
2016,12,01/12/2016,Theft and Handling,25728
2016,12,01/12/2016,Other Notifiable Offences,1171
2016,12,01/12/2016,Criminal Damage,5276
