year,month,crime_month,major_category,total_crimes,avg_temp,avg_dewp,avg_visib,avg_wdsp,avg_mxpsd,avg_gust,avg_max_temp,avg_min_temp,avg_prcp,fog_days
2014,7,2014-07-01,Drugs,3663,67.72580645161291,55.20967741935484,70.88387096774193,6.661290322580646,12.241935483870968,684.3935483870968,78.03870967741936,58.63548387096774,0.0638709677419354,0
2014,7,2014-07-01,Other Notifiable Offences,1257,67.72580645161291,55.20967741935484,70.88387096774193,6.661290322580646,12.241935483870968,684.3935483870968,78.03870967741936,58.63548387096774,0.0638709677419354,0
2014,7,2014-07-01,Robbery,1687,67.72580645161291,55.20967741935484,70.88387096774193,6.661290322580646,12.241935483870968,684.3935483870968,78.03870967741936,58.63548387096774,0.0638709677419354,0
2014,7,2014-07-01,Theft and Handling,23660,67.72580645161291,55.20967741935484,70.88387096774193,6.661290322580646,12.241935483870968,684.3935483870968,78.03870967741936,58.63548387096774,0.0638709677419354,0
2014,7,2014-07-01,Violence Against the Person,17432,67.72580645161291,55.20967741935484,70.88387096774193,6.661290322580646,12.241935483870968,684.3935483870968,78.03870967741936,58.63548387096774,0.0638709677419354,0
2014,8,2014-08-01,Burglary,5893,61.92903225806452,52.00322580645161,6.829032258064516,8.387096774193548,14.322580645161292,685.4645161290323,71.08709677419354,53.81612903225806,0.112258064516129,1
2014,8,2014-08-01,Criminal Damage,4925,61.92903225806452,52.00322580645161,6.829032258064516,8.387096774193548,14.322580645161292,685.4645161290323,71.08709677419354,53.81612903225806,0.112258064516129,1
2014,8,2014-08-01,Drugs,3569,61.92903225806452,52.00322580645161,6.829032258064516,8.387096774193548,14.322580645161292,685.4645161290323,71.08709677419354,53.81612903225806,0.112258064516129,1
2014,8,2014-08-01,Other Notifiable Offences,1068,61.92903225806452,52.00322580645161,6.829032258064516,8.387096774193548,14.322580645161292,685.4645161290323,71.08709677419354,53.81612903225806,0.112258064516129,1
2014,8,2014-08-01,Robbery,1744,61.92903225806452,52.00322580645161,6.829032258064516,8.387096774193548,14.322580645161292,685.4645161290323,71.08709677419354,53.81612903225806,0.112258064516129,1
2014,8,2014-08-01,Theft and Handling,22639,61.92903225806452,52.00322580645161,6.829032258064516,8.387096774193548,14.322580645161292,685.4645161290323,71.08709677419354,53.81612903225806,0.112258064516129,1
2014,8,2014-08-01,Violence Against the Person,15803,61.92903225806452,52.00322580645161,6.829032258064516,8.387096774193548,14.322580645161292,685.4645161290323,71.08709677419354,53.81612903225806,0.112258064516129,1
2014,9,2014-09-01,Burglary,5767,61.946666666666665,54.09,5.073333333333332,5.140000000000001,9.1,934.4433333333332,70.68333333333332,54.13,0.014,2
2014,9,2014-09-01,Criminal Damage,5095,61.946666666666665,54.09,5.073333333333332,5.140000000000001,9.1,934.4433333333332,70.68333333333332,54.13,0.014,2
